age,Country,employment_status,employment_status_1,employment_status_2,employment_status_3,employment_status_4,employment_status_5,employment_status_6,employment_status_7,gender,household_children,household_size,vac_1,vac_3,vac2_1,vac2_2,vac2_3,vac2_6
18,canada.csv,Full time student,,,,,,,,Female,2,6,3,4,1 - Strongly agree,1 - Strongly agree,4,2
18,canada.csv,Full time student,,,,,,,,Male,,Don't know,4,5 – Strongly disagree,1 - Strongly agree,5 – Strongly disagree,2,4
18,canada.csv,Full time student,,,,,,,,Male,0,3,3,4,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,3
18,canada.csv,Full time student,,,,,,,,Male,0,4,1 - Strongly agree,1 - Strongly agree,3,5 – Strongly disagree,1 - Strongly agree,5 – Strongly disagree
18,canada.csv,Full time student,,,,,,,,Male,1,4,5 – Strongly disagree,5 – Strongly disagree,5 – Strongly disagree,4,2,5 – Strongly disagree
18,canada.csv,Full time student,,,,,,,,Male,1,6,3,3,3,2,4,3
18,canada.csv,Full time student,,,,,,,,Male,2,5,5 – Strongly disagree,4,3,1 - Strongly agree,2,3
18,canada.csv,Full time student,,,,,,,,Male,2,7,4,1 - Strongly agree,3,1 - Strongly agree,3,3
18,canada.csv,Not working,,,,,,,,Female,1,3,3,3,3,2,3,3
18,canada.csv,Not working,,,,,,,,Male,3,5,5 – Strongly disagree,4,4,2,4,3
18,canada.csv,Other,,,,,,,,Female,2,5,3,3,3,3,3,4
18,canada.csv,Other,,,,,,,,Male,0,3,3,2,3,3,3,3
18,canada.csv,Part time employment,,,,,,,,Female,0,1,2,4,4,1 - Strongly agree,3,2
18,canada.csv,Part time employment,,,,,,,,Female,0,3,3,1 - Strongly agree,2,3,3,4
18,canada.csv,Part time employment,,,,,,,,Female,1,6,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,4,1 - Strongly agree,1 - Strongly agree
18,canada.csv,Part time employment,,,,,,,,Female,2,2,5 – Strongly disagree,4,3,1 - Strongly agree,5 – Strongly disagree,4
18,canada.csv,Part time employment,,,,,,,,Male,1,4,3,3,4,3,3,4
18,canada.csv,Part time employment,,,,,,,,Male,1,Don't know,2,1 - Strongly agree,5 – Strongly disagree,4,2,3
18,canada.csv,Part time employment,,,,,,,,Male,2,4,5 – Strongly disagree,5 – Strongly disagree,1 - Strongly agree,1 - Strongly agree,4,5 – Strongly disagree
18,canada.csv,Part time employment,,,,,,,,Male,2,5,5 – Strongly disagree,5 – Strongly disagree,4,2,4,4
18,canada.csv,Unemployed,,,,,,,,Female,1,4,5 – Strongly disagree,5 – Strongly disagree,5 – Strongly disagree,1 - Strongly agree,5 – Strongly disagree,5 – Strongly disagree
18,canada.csv,Unemployed,,,,,,,,Female,4,4,5 – Strongly disagree,5 – Strongly disagree,2,3,4,2
18,canada.csv,Unemployed,,,,,,,,Male,0,2,3,1 - Strongly agree,1 - Strongly agree,4,1 - Strongly agree,1 - Strongly agree
18,canada.csv,Unemployed,,,,,,,,Male,4,7,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree
18,denmark.csv,,No,No,No,No,No,Yes,No,Female,0,3,4,4,1 - Strongly agree,1 - Strongly agree,3,3
18,denmark.csv,,No,No,No,No,No,Yes,No,Male,0,1,5 – Strongly disagree,5 – Strongly disagree,5 – Strongly disagree,1 - Strongly agree,5 – Strongly disagree,1 - Strongly agree
18,denmark.csv,,No,No,No,No,No,Yes,No,Male,0,4,5 – Strongly disagree,5 – Strongly disagree,2,5 – Strongly disagree,1 - Strongly agree,1 - Strongly agree
18,denmark.csv,,No,No,No,No,Yes,No,No,Female,0,3,3,2,5 – Strongly disagree,5 – Strongly disagree,3,2
18,denmark.csv,,No,No,No,No,Yes,No,No,Female,0,4,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree
18,denmark.csv,,No,No,No,No,Yes,No,No,Male,0,3,4,5 – Strongly disagree,4,3,2,4
18,denmark.csv,,No,No,No,Yes,No,No,No,Female,0,4,4,2,4,4,2,4
18,denmark.csv,,No,No,Yes,No,No,No,No,Female,0,2,5 – Strongly disagree,5 – Strongly disagree,3,4,4,1 - Strongly agree
18,denmark.csv,,No,No,Yes,No,No,No,No,Female,0,3,3,1 - Strongly agree,1 - Strongly agree,2,2,2
18,denmark.csv,,No,No,Yes,No,No,No,No,Female,0,3,5 – Strongly disagree,5 – Strongly disagree,4,5 – Strongly disagree,5 – Strongly disagree,5 – Strongly disagree
18,denmark.csv,,No,No,Yes,No,No,No,No,Female,0,4,3,2,5 – Strongly disagree,2,3,4
18,denmark.csv,,No,No,Yes,No,No,No,No,Female,0,5,5 – Strongly disagree,5 – Strongly disagree,5 – Strongly disagree,1 - Strongly agree,4,5 – Strongly disagree
18,denmark.csv,,No,No,Yes,No,No,No,No,Female,1,4,5 – Strongly disagree,5 – Strongly disagree,2,2,4,5 – Strongly disagree
18,denmark.csv,,No,No,Yes,No,No,No,No,Male,0,3,1 - Strongly agree,1 - Strongly agree,3,5 – Strongly disagree,1 - Strongly agree,1 - Strongly agree
18,denmark.csv,,No,No,Yes,No,No,No,No,Male,0,3,4,3,3,2,2,3
18,denmark.csv,,No,No,Yes,No,No,No,No,Male,0,4,3,3,3,3,3,3
18,denmark.csv,,No,Yes,No,No,No,No,No,Male,0,3,2,2,3,2,2,2
18,denmark.csv,,No,Yes,No,No,No,No,No,Male,0,3,3,4,3,4,2,3
18,denmark.csv,,No,Yes,No,No,No,No,No,Male,2,4,4,4,4,5 – Strongly disagree,1 - Strongly agree,3
18,denmark.csv,,No,Yes,Yes,No,No,No,No,Female,0,4,1 - Strongly agree,1 - Strongly agree,3,5 – Strongly disagree,1 - Strongly agree,1 - Strongly agree
18,denmark.csv,,No,Yes,Yes,No,No,No,No,Female,0,4,1 - Strongly agree,1 - Strongly agree,4,5 – Strongly disagree,1 - Strongly agree,1 - Strongly agree
18,denmark.csv,,No,Yes,Yes,No,No,No,No,Male,0,3,1 - Strongly agree,1 - Strongly agree,4,4,1 - Strongly agree,1 - Strongly agree
18,finland.csv,,No,No,Yes,No,No,No,No,Female,0,1,1 - Strongly agree,3,3,4,1 - Strongly agree,1 - Strongly agree
18,finland.csv,,No,No,Yes,No,No,No,No,Female,0,1,2,1 - Strongly agree,2,3,3,2
18,finland.csv,,No,No,Yes,No,No,No,No,Female,0,2,3,3,3,2,4,3
18,finland.csv,,No,No,Yes,No,No,No,No,Female,0,3,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree
18,finland.csv,,No,No,Yes,No,No,No,No,Female,0,3,1 - Strongly agree,1 - Strongly agree,3,3,1 - Strongly agree,1 - Strongly agree
18,finland.csv,,No,No,Yes,No,No,No,No,Female,0,3,4,3,4,2,2,3
18,finland.csv,,No,No,Yes,No,No,No,No,Female,0,3,4,4,4,3,4,3
18,finland.csv,,No,No,Yes,No,No,No,No,Female,0,4,1 - Strongly agree,1 - Strongly agree,2,4,1 - Strongly agree,1 - Strongly agree
18,finland.csv,,No,No,Yes,No,No,No,No,Female,0,4,1 - Strongly agree,2,3,2,3,3
18,finland.csv,,No,No,Yes,No,No,No,No,Female,0,4,3,3,5 – Strongly disagree,1 - Strongly agree,3,3
18,finland.csv,,No,No,Yes,No,No,No,No,Female,0,4,5 – Strongly disagree,5 – Strongly disagree,5 – Strongly disagree,1 - Strongly agree,5 – Strongly disagree,5 – Strongly disagree
18,finland.csv,,No,No,Yes,No,No,No,No,Male,0,1,4,4,3,2,4,4
18,finland.csv,,No,No,Yes,No,No,No,No,Male,0,4,2,2,1 - Strongly agree,2,3,2
18,finland.csv,,No,No,Yes,No,No,No,No,Male,0,4,2,2,4,3,1 - Strongly agree,2
18,finland.csv,,No,No,Yes,No,No,No,No,Male,0,4,3,1 - Strongly agree,4,2,2,2
18,finland.csv,,No,No,Yes,No,No,No,No,Male,0,4,3,2,4,3,2,4
18,finland.csv,,No,No,Yes,No,No,No,No,Male,0,4,4,4,3,3,4,3
18,finland.csv,,No,No,Yes,No,No,No,No,Male,0,4,5 – Strongly disagree,5 – Strongly disagree,4,5 – Strongly disagree,4,5 – Strongly disagree
18,finland.csv,,No,No,Yes,No,No,No,No,Male,0,4,5 – Strongly disagree,5 – Strongly disagree,4,5 – Strongly disagree,5 – Strongly disagree,4
18,finland.csv,,No,No,Yes,No,No,No,No,Male,0,5,5 – Strongly disagree,5 – Strongly disagree,1 - Strongly agree,4,5 – Strongly disagree,4
18,finland.csv,,No,No,Yes,No,No,No,No,Male,0,5,5 – Strongly disagree,5 – Strongly disagree,5 – Strongly disagree,3,3,5 – Strongly disagree
18,finland.csv,,No,No,Yes,No,No,No,No,Male,2,4,3,4,4,3,5 – Strongly disagree,3
18,finland.csv,,No,Yes,No,No,No,No,No,Female,0,2,3,1 - Strongly agree,2,3,4,3
18,finland.csv,,No,Yes,No,No,No,No,No,Female,0,5,2,2,4,1 - Strongly agree,2,3
18,finland.csv,,No,Yes,No,No,No,No,No,Male,0,1,1 - Strongly agree,1 - Strongly agree,4,2,1 - Strongly agree,3
18,finland.csv,,No,Yes,No,No,No,No,No,Male,0,4,3,4,2,2,2,2
18,finland.csv,,No,Yes,Yes,No,No,No,No,Female,0,2,1 - Strongly agree,1 - Strongly agree,2,4,2,2
18,finland.csv,,No,Yes,Yes,No,No,No,No,Female,0,2,5 – Strongly disagree,5 – Strongly disagree,4,1 - Strongly agree,2,5 – Strongly disagree
18,finland.csv,,No,Yes,Yes,No,No,No,No,Male,0,2,4,5 – Strongly disagree,5 – Strongly disagree,2,1 - Strongly agree,2
18,france.csv,Full time student,,,,,,,,Male,,6,4,2,4,2,3,4
18,germany.csv,Full time employment,,,,,,,,Female,0,4,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,4,1 - Strongly agree,1 - Strongly agree
18,germany.csv,Full time employment,,,,,,,,Female,0,4,3,3,3,3,3,3
18,germany.csv,Full time employment,,,,,,,,Female,1,3,5 – Strongly disagree,5 – Strongly disagree,4,1 - Strongly agree,3,5 – Strongly disagree
18,germany.csv,Full time employment,,,,,,,,Female,1,4,5 – Strongly disagree,5 – Strongly disagree,5 – Strongly disagree,1 - Strongly agree,3,5 – Strongly disagree
18,germany.csv,Full time employment,,,,,,,,Male,2,3,1 - Strongly agree,1 - Strongly agree,2,5 – Strongly disagree,1 - Strongly agree,1 - Strongly agree
18,germany.csv,Full time student,,,,,,,,Female,0,1,4,3,2,1 - Strongly agree,4,4
18,germany.csv,Full time student,,,,,,,,Female,0,3,3,2,3,4,2,2
18,germany.csv,Full time student,,,,,,,,Female,0,3,3,3,2,2,2,3
18,germany.csv,Full time student,,,,,,,,Female,1,4,1 - Strongly agree,4,1 - Strongly agree,4,2,4
18,germany.csv,Full time student,,,,,,,,Female,1,4,4,3,3,1 - Strongly agree,3,3
18,germany.csv,Full time student,,,,,,,,Female,1,6,3,3,3,1 - Strongly agree,2,3
18,germany.csv,Full time student,,,,,,,,Female,2,5,3,3,1 - Strongly agree,2,3,3
18,germany.csv,Full time student,,,,,,,,Male,0,3,1 - Strongly agree,1 - Strongly agree,2,5 – Strongly disagree,1 - Strongly agree,1 - Strongly agree
18,germany.csv,Full time student,,,,,,,,Male,0,3,3,3,2,1 - Strongly agree,2,3
18,germany.csv,Full time student,,,,,,,,Male,0,3,3,3,4,1 - Strongly agree,1 - Strongly agree,3
18,germany.csv,Full time student,,,,,,,,Male,1,6,2,2,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,2
18,germany.csv,Other,,,,,,,,Female,0,2,4,2,3,3,3,1 - Strongly agree
18,germany.csv,Other,,,,,,,,Female,4,7,3,3,3,2,2,3
18,germany.csv,Other,,,,,,,,Male,1,5,3,3,3,3,3,3
18,germany.csv,Other,,,,,,,,Male,2,6,4,3,4,4,4,3
18,germany.csv,Part time employment,,,,,,,,Male,0,2,1 - Strongly agree,1 - Strongly agree,2,3,1 - Strongly agree,1 - Strongly agree
18,germany.csv,Part time employment,,,,,,,,Male,2,5,5 – Strongly disagree,5 – Strongly disagree,4,1 - Strongly agree,3,5 – Strongly disagree
18,germany.csv,Unemployed,,,,,,,,Male,2,6,3,3,3,3,3,3
18,israel.csv,,,,,,,,,Female,,,1 - Strongly agree,3,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree
18,israel.csv,,,,,,,,,Female,,,4,4,1 - Strongly agree,1 - Strongly agree,2,2
18,israel.csv,,,,,,,,,Female,,,5 – Strongly disagree,5 – Strongly disagree,2,5 – Strongly disagree,1 - Strongly agree,1 - Strongly agree
18,israel.csv,,,,,,,,,Male,,,2,2,2,3,1 - Strongly agree,1 - Strongly agree
18,italy.csv,Full time employment,,,,,,,,Female,2,4,5 – Strongly disagree,4,1 - Strongly agree,1 - Strongly agree,4,4
18,italy.csv,Full time student,,,,,,,,Female,2,4,1 - Strongly agree,1 - Strongly agree,3,2,2,1 - Strongly agree
18,italy.csv,Full time student,,,,,,,,Male,1,3,1 - Strongly agree,1 - Strongly agree,2,3,1 - Strongly agree,1 - Strongly agree
18,italy.csv,Full time student,,,,,,,,Male,2,6,4,4,4,5 – Strongly disagree,2,2
18,italy.csv,Other,,,,,,,,Male,1,2,4,4,1 - Strongly agree,2,2,3
18,japan.csv,Full time student,,,,,,,,Female,0,4,2,1 - Strongly agree,1 - Strongly agree,3,3,2
18,japan.csv,Full time student,,,,,,,,Female,0,5,1 - Strongly agree,3,3,2,3,3
18,japan.csv,Full time student,,,,,,,,Female,3,6,2,2,3,1 - Strongly agree,2,2
18,japan.csv,Full time student,,,,,,,,Male,,5,3,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,2,5 – Strongly disagree
18,japan.csv,Full time student,,,,,,,,Male,1,4,4,3,1 - Strongly agree,1 - Strongly agree,4,4
18,japan.csv,Full time student,,,,,,,,Male,1,6,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,3,2,1 - Strongly agree
18,japan.csv,Other,,,,,,,,Female,,8 or more,5 – Strongly disagree,5 – Strongly disagree,5 – Strongly disagree,5 – Strongly disagree,5 – Strongly disagree,5 – Strongly disagree
18,netherlands.csv,Full time student,,,,,,,,Female,0,3,2,2,2,1 - Strongly agree,3,2
18,netherlands.csv,Full time student,,,,,,,,Female,0,3,5 – Strongly disagree,5 – Strongly disagree,3,2,4,5 – Strongly disagree
18,netherlands.csv,Full time student,,,,,,,,Female,0,4,3,5 – Strongly disagree,2,1 - Strongly agree,3,3
18,netherlands.csv,Full time student,,,,,,,,Female,2,3,3,2,3,1 - Strongly agree,2,2
18,netherlands.csv,Full time student,,,,,,,,Male,2,4,4,3,3,2,3,4
18,netherlands.csv,Full time student,,,,,,,,Male,2,4,4,3,4,2,3,3
18,netherlands.csv,Full time student,,,,,,,,Male,3,3,3,2,4,3,2,4
18,netherlands.csv,Full time student,,,,,,,,Male,3,Prefer not to say,2,1 - Strongly agree,1 - Strongly agree,2,1 - Strongly agree,2
18,netherlands.csv,Other,,,,,,,,Male,,1,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree
18,netherlands.csv,Other,,,,,,,,Male,,Don't know,3,3,4,2,3,5 – Strongly disagree
18,netherlands.csv,Part time employment,,,,,,,,Female,0,2,5 – Strongly disagree,5 – Strongly disagree,4,5 – Strongly disagree,2,1 - Strongly agree
18,netherlands.csv,Part time employment,,,,,,,,Female,1,4,3,3,4,2,1 - Strongly agree,2
18,netherlands.csv,Part time employment,,,,,,,,Female,3,6,5 – Strongly disagree,5 – Strongly disagree,5 – Strongly disagree,1 - Strongly agree,5 – Strongly disagree,5 – Strongly disagree
18,netherlands.csv,Part time employment,,,,,,,,Male,4,4,1 - Strongly agree,2,2,3,2,3
18,netherlands.csv,Unemployed,,,,,,,,Female,1,3,4,2,4,4,3,3
18,netherlands.csv,Unemployed,,,,,,,,Female,1,4,5 – Strongly disagree,5 – Strongly disagree,5 – Strongly disagree,5 – Strongly disagree,4,5 – Strongly disagree
18,norway.csv,,No,No,No,No,No,Yes,No,Female,0,4,5 – Strongly disagree,4,2,1 - Strongly agree,3,4
18,norway.csv,,No,No,No,No,No,Yes,No,Female,3,4,1 - Strongly agree,2,2,3,2,2
18,norway.csv,,No,No,No,No,No,Yes,No,Male,0,1,1 - Strongly agree,2,2,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree
18,norway.csv,,No,No,No,No,No,Yes,No,Male,0,2,1 - Strongly agree,3,2,5 – Strongly disagree,2,2
18,norway.csv,,No,No,No,No,Yes,No,No,Male,0,3,2,3,4,2,5 – Strongly disagree,3
18,norway.csv,,No,No,No,No,Yes,No,No,Male,0,6,1 - Strongly agree,1 - Strongly agree,3,3,1 - Strongly agree,2
18,norway.csv,,No,No,No,Yes,No,No,No,Male,1,3,5 – Strongly disagree,2,2,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree
18,norway.csv,,No,No,Yes,No,No,No,No,Female,0,4,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree
18,norway.csv,,No,No,Yes,No,No,No,No,Female,0,4,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,4,1 - Strongly agree,1 - Strongly agree
18,norway.csv,,No,No,Yes,No,No,No,No,Female,0,4,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,5 – Strongly disagree,1 - Strongly agree,1 - Strongly agree
18,norway.csv,,No,No,Yes,No,No,No,No,Female,0,4,5 – Strongly disagree,5 – Strongly disagree,2,4,1 - Strongly agree,1 - Strongly agree
18,norway.csv,,No,No,Yes,No,No,No,No,Female,0,4,5 – Strongly disagree,5 – Strongly disagree,4,4,1 - Strongly agree,1 - Strongly agree
18,norway.csv,,No,No,Yes,No,No,No,No,Female,0,5,2,1 - Strongly agree,3,3,2,2
18,norway.csv,,No,No,Yes,No,No,No,No,Female,0,5,3,3,2,3,3,3
18,norway.csv,,No,No,Yes,No,No,No,No,Female,0,7,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree
18,norway.csv,,No,No,Yes,No,No,No,No,Female,3,4,3,2,3,2,2,3
18,norway.csv,,No,No,Yes,No,No,No,No,Male,0,1,1 - Strongly agree,1 - Strongly agree,4,2,1 - Strongly agree,2
18,norway.csv,,No,No,Yes,No,No,No,No,Male,0,4,1 - Strongly agree,1 - Strongly agree,3,2,1 - Strongly agree,1 - Strongly agree
18,norway.csv,,No,No,Yes,No,No,No,No,Male,0,4,1 - Strongly agree,1 - Strongly agree,5 – Strongly disagree,5 – Strongly disagree,1 - Strongly agree,1 - Strongly agree
18,norway.csv,,No,No,Yes,No,No,No,No,Male,0,4,3,2,3,3,4,3
18,norway.csv,,No,No,Yes,No,No,No,No,Male,0,4,4,3,3,1 - Strongly agree,3,4
18,norway.csv,,No,No,Yes,No,No,No,No,Male,0,5,4,4,2,2,4,2
18,norway.csv,,No,No,Yes,No,No,No,No,Male,0,5,4,4,3,2,4,2
18,norway.csv,,No,No,Yes,No,No,No,No,Male,1,4,5 – Strongly disagree,5 – Strongly disagree,5 – Strongly disagree,3,3,5 – Strongly disagree
18,norway.csv,,No,Yes,No,No,No,No,No,Female,0,3,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,4,1 - Strongly agree,1 - Strongly agree
18,norway.csv,,No,Yes,No,No,No,No,No,Female,2,7,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,3,1 - Strongly agree,1 - Strongly agree
18,norway.csv,,No,Yes,No,No,No,No,No,Male,0,3,3,2,2,2,3,3
18,norway.csv,,No,Yes,No,No,No,No,No,Male,0,4,1 - Strongly agree,1 - Strongly agree,5 – Strongly disagree,5 – Strongly disagree,5 – Strongly disagree,5 – Strongly disagree
18,norway.csv,,No,Yes,No,No,No,No,No,Male,0,5,3,3,3,4,2,3
18,norway.csv,,No,Yes,No,No,No,No,No,Male,0,6,1 - Strongly agree,1 - Strongly agree,3,3,1 - Strongly agree,1 - Strongly agree
18,norway.csv,,No,Yes,No,No,No,No,No,Male,1,3,5 – Strongly disagree,5 – Strongly disagree,1 - Strongly agree,5 – Strongly disagree,5 – Strongly disagree,1 - Strongly agree
18,norway.csv,,No,Yes,Yes,No,No,No,No,Female,0,2,1 - Strongly agree,1 - Strongly agree,3,4,1 - Strongly agree,1 - Strongly agree
18,norway.csv,,No,Yes,Yes,No,No,No,No,Female,0,3,1 - Strongly agree,1 - Strongly agree,2,3,2,2
18,norway.csv,,No,Yes,Yes,No,No,No,No,Female,0,3,5 – Strongly disagree,5 – Strongly disagree,2,4,5 – Strongly disagree,3
18,norway.csv,,No,Yes,Yes,No,No,No,No,Female,0,4,3,2,1 - Strongly agree,2,2,2
18,norway.csv,,No,Yes,Yes,No,No,No,No,Male,0,3,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree
18,norway.csv,,No,Yes,Yes,No,No,No,No,Male,0,4,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree
18,norway.csv,,No,Yes,Yes,No,No,No,No,Male,0,4,3,4,2,4,4,3
18,norway.csv,,Yes,No,No,No,No,No,No,Male,0,4,3,3,3,2,3,3
18,norway.csv,,Yes,No,Yes,No,No,No,No,Female,0,6,2,2,2,2,2,2
18,singapore.csv,Full time student,,,,,,,,Female,0,3,1 - Strongly agree,1 - Strongly agree,3,3,1 - Strongly agree,1 - Strongly agree
18,singapore.csv,Full time student,,,,,,,,Female,2,6,3,3,3,2,2,3
18,singapore.csv,Full time student,,,,,,,,Male,1,4,3,1 - Strongly agree,2,2,2,2
18,singapore.csv,Full time student,,,,,,,,Male,2,5,2,1 - Strongly agree,1 - Strongly agree,2,1 - Strongly agree,2
18,south-korea.csv,Full time student,,,,,,,,Female,0,5,2,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,2
18,south-korea.csv,Full time student,,,,,,,,Female,1,4,2,2,1 - Strongly agree,1 - Strongly agree,4,3
18,south-korea.csv,Full time student,,,,,,,,Female,3,5,5 – Strongly disagree,5 – Strongly disagree,1 - Strongly agree,1 - Strongly agree,2,4
18,south-korea.csv,Full time student,,,,,,,,Male,1,3,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,5 – Strongly disagree,4,1 - Strongly agree
18,south-korea.csv,Full time student,,,,,,,,Male,1,4,3,2,1 - Strongly agree,1 - Strongly agree,3,3
18,south-korea.csv,Full time student,,,,,,,,Male,4,5,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree
18,south-korea.csv,Not working,,,,,,,,Female,0,3,1 - Strongly agree,1 - Strongly agree,4,3,4,1 - Strongly agree
18,south-korea.csv,Not working,,,,,,,,Female,1,4,5 – Strongly disagree,5 – Strongly disagree,3,1 - Strongly agree,5 – Strongly disagree,5 – Strongly disagree
18,south-korea.csv,Not working,,,,,,,,Female,4,5,3,4,1 - Strongly agree,1 - Strongly agree,2,1 - Strongly agree
18,south-korea.csv,Not working,,,,,,,,Male,2,5,3,3,2,1 - Strongly agree,2,3
18,south-korea.csv,Other,,,,,,,,Male,1,5,3,3,3,3,3,3
18,south-korea.csv,Part time employment,,,,,,,,Female,0,4,5 – Strongly disagree,3,3,2,4,5 – Strongly disagree
18,south-korea.csv,Part time employment,,,,,,,,Male,1,4,3,3,3,2,3,3
18,south-korea.csv,Retired,,,,,,,,Male,0,3,4,3,3,1 - Strongly agree,2,4
18,south-korea.csv,Unemployed,,,,,,,,Female,1,4,5 – Strongly disagree,5 – Strongly disagree,5 – Strongly disagree,1 - Strongly agree,2,5 – Strongly disagree
18,south-korea.csv,Unemployed,,,,,,,,Male,1,4,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,3,1 - Strongly agree,1 - Strongly agree
18,spain.csv,Full time student,,,,,,,,Female,2,4,1 - Strongly agree,1 - Strongly agree,4,5 – Strongly disagree,1 - Strongly agree,1 - Strongly agree
18,spain.csv,Full time student,,,,,,,,Male,2,4,1 - Strongly agree,1 - Strongly agree,2,4,1 - Strongly agree,1 - Strongly agree
18,sweden.csv,,No,No,No,No,No,Yes,No,Female,,6,1 - Strongly agree,1 - Strongly agree,3,3,3,5 – Strongly disagree
18,sweden.csv,,No,No,No,No,No,Yes,No,Female,1,5,3,5 – Strongly disagree,3,1 - Strongly agree,2,2
18,sweden.csv,,No,No,No,No,No,Yes,No,Female,2,3,3,3,3,4,3,3
18,sweden.csv,,No,No,No,No,Yes,No,No,Female,3,6,1 - Strongly agree,1 - Strongly agree,3,3,3,3
18,sweden.csv,,No,No,No,No,Yes,No,No,Male,3,3,4,3,3,2,4,4
18,sweden.csv,,No,No,No,Yes,No,No,No,Male,4,1,1 - Strongly agree,2,2,2,2,3
18,sweden.csv,,No,No,Yes,No,No,No,No,Female,1,2,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,2,1 - Strongly agree,1 - Strongly agree
18,sweden.csv,,No,No,Yes,No,No,No,No,Female,1,3,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,2,1 - Strongly agree,1 - Strongly agree
